Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0020,386,757,351.71
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0020,384,770,165.05
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0020,384,479,96.39
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0020,384,943,367.02
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0010,1030,1066,183.15
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0010,1030,569,89.20
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,59602,0,0.0010,1030,891,238.80
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0010,1033,1025,351.78
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0010,1033,513,108.76
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,60102,500,0.0010,1033,1028,337.84
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0010,1031,1047,154.08
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0010,1031,507,109.15
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,61102,1000,0.0010,1031,1101,304.52
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0010,1018,1288,321.34
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0010,1018,680,113.13
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,63102,2000,0.0010,1018,1113,353.98
Inc-FP-Close ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0010,1006,1206,363.87
Inc-CHARM ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0010,1006,553,120.50
Inc-dCharm ,datasets/dataset-BMS1_dynamic.txt,68102,5000,0.0010,1006,1124,381.20
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3196,0,0.2000,57809,85938,170.48
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3196,0,0.2000,57809,33000,513.45
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3196,0,0.2000,57809,52567,996.30
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3696,500,0.2000,58948,126561,178.04
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3696,500,0.2000,58948,31013,871.34
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3696,500,0.2000,58948,79095,947.43
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2000,54694,141311,370.32
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2000,54694,26891,1017.21
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2000,54694,94953,1059.36
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2000,56770,244373,303.62
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2000,56770,53275,498.46
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2000,56770,117680,1276.39
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2000,56039,387495,720.88
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2000,56039,105687,907.67
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2000,56039,265400,1230.85
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3196,0,0.2500,14789,30313,172.70
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3196,0,0.2500,14789,4968,379.41
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3196,0,0.2500,14789,12298,639.87
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3696,500,0.2500,15020,33961,186.89
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3696,500,0.2500,15020,6300,646.67
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3696,500,0.2500,15020,14485,782.41
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2500,14040,40126,287.75
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2500,14040,8452,724.66
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,4696,1000,0.2500,14040,19678,834.69
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2500,14418,71246,352.25
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2500,14418,15090,432.45
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,6696,2000,0.2500,14418,27798,1123.90
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2500,14212,105993,488.48
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2500,14212,29839,527.80
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,11696,5000,0.2500,14212,61723,1330.20
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3196,0,0.3000,4456,9080,129.09
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3196,0,0.3000,4456,2226,329.92
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3196,0,0.3000,4456,3716,603.56
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,3696,500,0.3000,4524,10909,251.68
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,3696,500,0.3000,4524,2520,673.24
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,3696,500,0.3000,4524,5166,714.91
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3000,4252,13111,260.33
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3000,4252,3209,671.90
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,4696,1000,0.3000,4252,5306,787.37
Inc-FP-Close ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3000,4339,18550,311.90
Inc-CHARM ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3000,4339,5389,797.23
Inc-dCharm ,datasets/dataset-chess_dynamic.txt,6696,2000,0.3000,4339,9724,951.47
