Algorithm,Dataset,TotalTransactions,GEN,MinSup,FoundItems,Runtime(ms),PeakMemory(MB)
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms-accumulated.txt,8616,200,0.2000,228,352,73.46
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms-accumulated.txt,8616,200,0.2000,228,501,188.58
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms-accumulated.txt,8616,0,0.2000,228,869,71.61
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms-accumulated.txt,8616,0,0.2000,228,290,146.69
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms-accumulated.txt,8616,0,0.2000,228,525,199.00
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess.txt,6696,0,0.2000,402,1306,72.30
Inc-CHARM (Vertical Incremental),datasets/dataset-chess.txt,6696,0,0.2000,402,655,192.25
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess.txt,6696,0,0.2000,402,1354,488.11
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,8221,190.69
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3558,532.72
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,9396,1136.51
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7496,179.31
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3503,506.21
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7101,1150.37
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-ACCUMULATED.txt,5396,200,0.2000,1203,1454,79.54
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-ACCUMULATED.txt,5396,200,0.2000,1203,980,271.90
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-ACCUMULATED.txt,5396,200,0.2000,1203,2170,644.70
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms-accumulated.txt,9116,500,0.2000,192,854,71.22
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms-accumulated.txt,9116,500,0.2000,192,257,74.29
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms-accumulated.txt,9116,500,0.2000,192,841,195.14
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,554,67.00
Inc-CHARM (Vertical Incremental),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,281,156.18
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-mushrooms.txt,8416,0,0.2000,245,580,202.82
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,8543,65.14
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3405,623.54
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,7974,698.91
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,14274,38.96
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,9249,422.57
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,20393,643.62
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,5896,500,0.2000,845,2677,70.15
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,5896,500,0.2000,845,1640,191.34
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,5896,500,0.2000,845,3646,516.46
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,11816,65.30
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,5999,505.37
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,11374,727.40
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,23646,27.73
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,11797,265.55
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,30447,764.67
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,21725,39.66
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,11539,415.74
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,18114,809.68
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-accumulated.txt,6396,500,0.2000,514,2173,68.94
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-accumulated.txt,6396,500,0.2000,514,1241,184.07
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-accumulated.txt,6396,500,0.2000,514,2442,523.68
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,16246,164.97
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,6527,1186.52
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,13151,1187.67
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,19225,115.47
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,5663,398.42
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,12310,715.11
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,15923,120.10
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,9228,319.77
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,19585,916.49
Inc-FP-Close (HeaderTable + Stateful CFI-Tree),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,9824,173.18
Inc-CHARM (Vertical Incremental),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,3031,616.92
Inc-dCharm (Exact Probabilistic Diffset),datasets/dataset-chess-normal.txt,3196,0,0.2000,13065,6540,819.47
